Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
97,TM10104606,625,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.90,-,-,9.45,-,-,-,-,-,-,9.17
98,TM10104784,3630,ȘCOALA GIMNAZIALĂ NIȚCHIDORF,6.95,-,-,5.00,-,-,-,-,-,-,5.97
99,TM10104800,1601,ȘCOALA GIMNAZIALĂ LIEBLING,8.60,-,-,8.10,-,-,-,-,-,-,8.35
100,TM10104969,2623,ȘCOALA GIMNAZIALĂ LIEBLING,6.60,-,-,8.00,-,-,-,-,-,-,7.30
101,TM10105567,3777,ȘCOALA GIMNAZIALĂ LIEBLING,6.85,-,-,4.70,-,-,-,-,-,-,5.77
102,TM10105726,4445,ȘCOALA GIMNAZIALĂ LIEBLING,5.15,-,-,4.50,-,-,-,-,-,-,4.82
103,TM10105741,3317,ȘCOALA GIMNAZIALĂ DAROVA,7.10,-,-,5.65,-,-,-,-,-,-,6.37
104,TM10105941,2893,ȘCOALA GIMNAZIALĂ LIEBLING,5.95,-,-,7.90,-,-,-,-,-,-,6.92
105,TM10105949,4970,ȘCOALA GIMNAZIALĂ DAROVA,4.75,-,-,2.50,-,-,-,-,-,-,3.62
106,TM10106243,4719,ȘCOALA GIMNAZIALĂ LIEBLING,4.45,-,-,4.10,-,-,-,-,-,-,4.27
107,TM10106896,1684,ȘCOALA GIMNAZIALĂ LIEBLING,9.35,-,-,7.15,-,-,-,-,-,-,8.25
108,TM10107484,2098,ȘCOALA GIMNAZIALĂ LIEBLING,8.00,-,-,7.70,-,-,-,-,-,-,7.85
109,TM10107867,3640,"ȘCOALA GIMNAZIALĂ NR.7 ""SFÂNTA MARIA"" TIMIȘOARA",5.35,-,-,6.60,-,-,-,-,-,-,5.97
110,TM10107879,4310,ȘCOALA GIMNAZIALĂ LIEBLING,5.55,-,-,4.50,-,-,-,-,-,-,5.02
111,TM10108499,5220,ȘCOALA GIMNAZIALĂ COMLOȘU MARE,3.85,-,-,Absent,-,-,-,-,-,-,Absent
